dms_id,stat,n_finite,n_distinct,frac_tied,ref_mean,T_mean,T_median,T_min,T_max,T_sd,ks_p_rand,ks_D_rand,ks_p_mid,ks_p_cons,within_tol,grid_guard_pass,live,note
KRAS_RAF1-RBD_norfitness_6VJJ,rate_mad_tau3,200,183,0.000854,0.08046252825595548,1.0000383008747082,0.9976171446182802,0.8161223825539764,1.2724227925184863,0.08752954308625074,1.0,0.009350170137640668,1.0,1.0,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_mad_tau4,200,179,0.001156,0.04661089996770748,1.000056092145072,0.993618420442195,0.7691968178729823,1.3023175974874142,0.10592606934263415,1.0,0.011316378265477267,1.0,0.9999999998322193,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_mad_tau5,200,173,0.001457,0.02858471818565715,1.000074777017304,0.9976113432809751,0.7403028426387085,1.3344195893514834,0.12230054265230365,1.0,0.01021705982638163,1.0,0.9999999998322193,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_mad_tau6,200,159,0.002261,0.018113992597560677,1.0000945566621195,0.9921237348842165,0.6502462715315611,1.4292521563779754,0.13753033445434104,1.0,0.009842591324417727,1.0,0.9999999998322193,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_mad_tau8,200,130,0.005528,0.007456218794246964,1.0001517396427886,0.997773457725429,0.5584565271861688,1.5366021519816024,0.1742223582326841,1.0,0.010741181372328379,0.9999999998322193,0.9993642592607782,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,TR1,200,200,0.0,6.48888485882421,1.0000419730956174,0.9933461158944821,0.7572588995351084,1.2934069142791393,0.0916296844974326,1.0,0.004999649137312601,1.0,1.0,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,TR2,200,200,0.0,3.6829785464182123,1.0000198123230635,1.0013055925260763,0.8416218574835863,1.1849530946270976,0.06294872374770723,1.0,0.004971402635013167,1.0,1.0,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,TR1_mad,200,200,0.0,8.1384717827954,1.0000074364277072,0.9989280984881307,0.886366674153509,1.1457513659346117,0.038565694456466626,1.0,0.004982107695530563,1.0,1.0,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,TR2_mad,200,200,0.0,5.318418157600739,1.0000086043147922,1.0016267471890328,0.8759394182567356,1.1465289592149608,0.0414822282118556,1.0,0.004978355720118982,1.0,1.0,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_sigma_tau2,200,175,0.001457,0.10276767808876101,1.0000405780175354,0.9945492930213657,0.783527963748488,1.3697787858207646,0.09009433731177639,0.9999999999992295,0.01352184710032811,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_sigma_tau3,200,153,0.002864,0.030797366814892316,1.0000989914806713,1.0043677311334824,0.6556930025138118,1.5142954949043996,0.1407190719006234,1.0,0.01083199508724475,0.9999999998322193,0.9993642592607782,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_sigma_tau4,200,128,0.005075,0.010874749324265411,1.0002239092754548,1.006265361215198,0.4798167534007113,1.8194469729150233,0.21165207879176584,0.9999999999999915,0.01256744054353387,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_sigma_tau5,200,88,0.010101,0.004073589676519313,1.0004385261135795,0.96838299169826,0.3840874973193224,2.1636284956996814,0.2962534815341507,0.9999975552935616,0.019464490046531002,0.9999948480179858,0.959895555633483,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_sigma_tau6,200,55,0.020402,0.0015003487662394283,1.0008179544663545,0.9732837869666091,0.26054698865289494,2.4289705882352934,0.404708220081447,0.9999999756344483,0.016893051976633378,0.9972054211849518,0.6802625495871701,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_sigma_tau8,200,15,0.09206,0.00021405527944894933,1.0024362724758304,0.8139059304703476,0.0,3.296066252587992,0.6991781130555282,0.997841237917108,0.027009024827701733,0.0880644283859453,1.599068548418649e-05,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_mad_tau2,200,173,0.001608,0.12894236637893453,1.0000226823260603,0.996540901421165,0.789313966927982,1.2334850618821143,0.06735497997987275,1.0,0.008674262511162434,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_mad_tau3,200,155,0.002714,0.04970638242218153,1.0000671204621756,0.9901588336917817,0.6522781669071839,1.3804920913884007,0.11586984694223594,1.0,0.011392315530232955,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_mad_tau4,200,146,0.003568,0.02049655593338565,1.0001215466294555,0.9804422404856308,0.5900887447734449,1.6516470790083209,0.15594806862970684,0.9999999999966322,0.013883942037529517,0.9999999998322193,0.9993642592607782,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_mad_tau5,200,104,0.00804,0.008864765890661784,1.0001880486805412,0.9909060886296998,0.4757831948929037,1.7524123731798675,0.19398229303052555,0.9999999999997439,0.013268767926245983,0.9999948480179858,0.959895555633483,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_mad_tau6,200,73,0.016281,0.003678611910367076,1.0002818237682651,0.971656544003811,0.41357401579478653,2.1454240536655487,0.23752901959581393,0.9999988139942095,0.018983619277661234,0.9993642592607782,0.7955464488103132,True,True,True,
KRAS_RAF1_norfitness_6VJJ,rate_mad_tau8,200,22,0.062915,0.0004878367773999477,1.0007986003550924,0.9829366861248315,0.17799642218246872,2.157181571815718,0.39981419930224166,0.9999984548080059,0.019155376021029347,0.6206237172596365,0.03411035080315372,True,True,True,
KRAS_RAF1_norfitness_6VJJ,TR1,200,200,0.0,4.795665921125103,1.0000275075179472,0.9966243573342284,0.8244092426731847,1.1855967191843848,0.07417280976594443,1.0,0.004997382149437873,1.0,1.0,True,True,True,
KRAS_RAF1_norfitness_6VJJ,TR2,200,200,0.0,3.0825555505550724,1.0000129615544333,0.9993392669015797,0.8850907686350753,1.1241621149020604,0.050914775610868206,1.0,0.004989507423775574,1.0,1.0,True,True,True,
KRAS_RAF1_norfitness_6VJJ,TR1_mad,200,200,0.0,5.491043788494321,1.0000076766501764,0.9964939019225366,0.914101806707535,1.1144960222222666,0.03918369460563922,1.0,0.004996549137409434,1.0,1.0,True,True,True,
KRAS_RAF1_norfitness_6VJJ,TR2_mad,200,200,0.0,3.645612230139682,1.0000063321880648,0.9975830892936243,0.9022331570166116,1.1594459161597226,0.03558797425095498,1.0,0.004977523754083113,1.0,1.0,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_sigma_tau2,200,175,0.001407,0.10753285902051544,1.0000199683889848,0.9932078155749349,0.8603143384388756,1.181107550190713,0.06319986510133566,1.0,0.00871972470742155,1.0,0.9999999998322193,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_sigma_tau3,200,160,0.002513,0.03679238813646494,1.0000467683676473,0.9998751383079458,0.7889714051809835,1.2691207502930832,0.09672267172912012,0.9999999999943074,0.014019815394331392,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_sigma_tau4,200,156,0.002764,0.015929053088747928,1.000104476104544,0.9838033001854287,0.7003132144078626,1.394712836769899,0.14456397412370486,1.0,0.009122045846235882,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_sigma_tau5,200,128,0.005678,0.007310989199382822,1.000206277580792,0.9808731600086951,0.5693736771968331,1.6586274162085475,0.2031588402983025,0.9999999988634414,0.015651283056294762,0.9999999132077095,0.9914365247149419,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_sigma_tau6,200,99,0.008693,0.0034593405337447858,1.00038233997266,0.9745185922974767,0.4200223482183503,1.9334890121346062,0.2766409252321919,0.9999999999687704,0.014488723470172493,0.9999999998322193,0.9993642592607782,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_sigma_tau8,200,52,0.025528,0.0007914737985027716,1.001210009733463,0.8658448150833937,0.17976513098464317,3.1749495690445633,0.49272336373796327,0.9999917901319002,0.020357865342321646,0.8932878117043641,0.2002471391298516,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_mad_tau2,200,172,0.001608,0.1722118406766101,1.0000096242361054,1.001739237046656,0.8866613280758491,1.160031307679727,0.04387340019368319,0.9999999999999952,0.012457853016199505,1.0,0.9999999998322193,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_mad_tau3,200,179,0.001156,0.0941365220869764,1.0000215369591927,1.0010402385836694,0.8422320812142512,1.2456892668050257,0.06563332866451635,1.0,0.007538132921214746,1.0,0.9999999998322193,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_mad_tau4,200,167,0.00196,0.054954711697811305,1.000032755455699,1.0024534129282179,0.8212879816226375,1.2666968406291532,0.08094298688274346,1.0,0.008879415799699364,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_mad_tau5,200,169,0.001658,0.034418823932796154,1.0000505369918216,0.996170514259216,0.7753257522407837,1.3011535263815373,0.10054220166874014,1.0,0.008532442511819283,1.0,0.9999999998322193,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_mad_tau6,200,162,0.002261,0.02243356763243614,1.0000776652847136,0.9966334620000699,0.7122314112970229,1.2934005076532573,0.1246375343304917,0.9999999999999999,0.011834297945840455,1.0,0.9999999998322193,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,rate_mad_tau8,200,134,0.004422,0.009396536944968283,1.000166797812789,0.9820929273174533,0.5826166514181154,1.4199920374850703,0.18265995452992445,1.0,0.009045579855142871,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,TR1,200,200,0.0,5.687506531792496,1.0000292405303888,0.993710163936368,0.8332015446064869,1.2584596936350765,0.07648269473524541,1.0,0.004991468916919567,1.0,1.0,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,TR2,200,200,0.0,3.432194265255302,1.000012231591824,0.9954392176349995,0.8757209842376992,1.1630364019284307,0.04946251244483932,1.0,0.0049984541985038655,1.0,1.0,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,TR1_mad,200,200,0.0,7.99641330442337,1.0000064078997533,1.0008765327152118,0.8789535182947582,1.0880541461339976,0.03579860114631454,1.0,0.004998811494806743,1.0,1.0,True,True,True,
KRAS_RALGDS-RBD_norfitness_1LFD,TR2_mad,200,200,0.0,5.412935296778303,1.0000100763784285,1.0004034433643607,0.8441990010380598,1.0921571299868023,0.044890330657425245,1.0,0.004999835287221116,1.0,1.0,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_sigma_tau2,200,178,0.001206,0.12420764039527597,1.0000190532270417,0.993369447977213,0.8792320258054142,1.2224022764933995,0.06173593193072832,1.0,0.009831670020508207,1.0,0.9999999998322193,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_sigma_tau3,200,159,0.002362,0.04263467100506146,1.0000310287128078,0.9903204500950558,0.816135097740093,1.2658754004629547,0.07878297603316986,1.0,0.009510268866754434,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_sigma_tau4,200,137,0.004171,0.017937454808387564,1.0000612056713851,0.9866991631895445,0.7481581387507376,1.3764988415160073,0.11065483314364416,0.999999999999995,0.012466435706015022,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_sigma_tau5,200,111,0.006734,0.00829853579175705,1.0001200152090162,0.9856068027920252,0.6123634377276037,1.429848617814831,0.15495361061783464,0.9999999998046735,0.015048871267613784,0.9999999132077095,0.9914365247149419,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_sigma_tau6,200,87,0.011407,0.003991624487828392,1.0001789223409074,0.9886979937042516,0.5875094625283876,1.5286735625190144,0.1892076189217151,0.9999999999999986,0.012234096681705109,0.9999146103740949,0.8932878117043641,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_sigma_tau8,200,44,0.027739,0.0010002410219329958,1.0004757311932335,0.9636803874092009,0.33021571881128375,1.906188231716588,0.30855932916552564,0.9999992028366931,0.01873406699289637,0.9914365247149423,0.5616777704322757,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_mad_tau2,200,175,0.001508,0.1316883586406363,1.0000101041552703,0.9967810293578165,0.8522640590392339,1.1281532132635121,0.04495383667023319,1.0,0.008852496832797985,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_mad_tau3,200,160,0.002714,0.056594661364184146,1.0000233819650568,0.997330298398716,0.7896973114242424,1.246684826132489,0.06838862417723401,0.9999999999989836,0.013587748063416782,0.999999999999994,0.9999948480179858,True,True,True,
