i_amp,i_pi,rep,amp,pi,n_inj_variants,n_Pa,pi_edge_realised,amp_recovered,amp_background,resid_mad_oof,n_iter_used,pi_hat,rho_hat,dBIC,pi_ci_lo,pi_ci_hi,s1,s2,TR,TR_ref_p995,TR_pctile,clause1_TR,clause2_sweep,clause3_mixture,run_sigma,run_mad,T_max,supported,refuted,DMS_id,n_Pa_obs,sigma_bias_ratio
3,1,0,6.0,0.005,235,183690,0.00584136316620393,4.066928772046457,0.7129751087767163,0.19187002172509532,10.0,0.13155074204136114,5.3730982724826655,-129437.25719880825,0.1294927574901139,0.13360872659260836,0.9631748192584136,5.175232957456186,11.221710928964567,19.014652077609615,23.5,False,False,False,0,0,1.0524657368819663,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.011586352921871
3,2,0,6.0,0.02,927,183690,0.018493113397571995,5.028941656713773,0.7292044892808432,0.1993566561585577,10.0,0.1197215035698806,8.030459493518114,-220149.09716065985,0.11791745515749391,0.12152555198226728,1.0140298050390957,8.143125274586529,15.706865589604588,19.014652077609615,94.5,False,False,False,0,0,1.4064282211360968,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0510577469109557
0,0,1,2.0,0.001,46,183690,0.0005008438129457238,1.7874842340466872,0.6719727302952152,0.19361326667958323,10.0,0.12824476700402912,5.363395539834695,-128979.60877433885,0.1261985791553194,0.13029095485273884,0.9230691854031988,4.950785151950362,11.19284921463515,19.014652077609615,23.5,False,False,False,0,0,0.9907893253102814,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0207771727795267
0,1,1,2.0,0.005,220,183690,0.0070335891991942946,1.6258928442325926,0.6871090447744692,0.1920667151432058,10.0,0.10408682923073119,7.9999451527099685,-216020.39853170863,0.10238335189239765,0.10579030656906473,0.9651881673767623,7.721452401058747,15.035116092837752,19.014652077609615,86.5,False,False,False,0,0,1.2680115273775214,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0126233694171063
0,2,1,2.0,0.02,906,183690,0.018580216669388645,1.4982161860122611,0.7305666195585806,0.19643110339482178,10.0,0.08995738775272712,7.092916957124782,-180706.80684243224,0.08832045321321672,0.09159432229223752,1.0442505573828889,7.406782485948097,14.057038126893273,19.014652077609615,74.5,False,False,False,0,0,1.0172449230124512,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0356335069805078
1,0,1,3.0,0.001,49,183690,0.002760084925690021,3.1652850496806106,0.7427981923080199,0.19129373922685441,10.0,0.11190599313236577,7.219470532827227,-192242.06155572378,0.11011693057297552,0.11369505569175602,1.0145215895141062,7.3243087204141295,14.54877835935894,19.014652077609615,80.0,False,False,False,0,0,1.1141662212573216,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0085480486291687
1,1,1,3.0,0.005,223,183690,0.009015188633023028,2.1325861006747724,0.773068616784347,0.18906196099363096,10.0,0.1270123123889956,5.710593010463525,-141617.5385016686,0.12501714999398034,0.12900747478401087,1.0546804188957442,6.02285062841878,12.472393698361529,19.014652077609615,42.5,False,False,False,0,0,1.0632822273459108,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9967815601325363
1,2,1,3.0,0.02,916,183690,0.01661494909902553,2.8119746241928496,0.7616807750275931,0.20499119983666944,10.0,0.11222260815630028,7.140545397004791,-190780.59935551393,0.11041061721275269,0.11403459909984787,1.092403481373413,7.800356650592932,14.092202501567336,19.014652077609615,75.0,False,False,False,0,0,1.2267950914971815,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0807644589781829
2,0,1,4.0,0.001,47,183690,0.0008111492187925309,3.0998711496312863,0.7921795415223177,0.19100108700893575,10.0,0.10822168757777631,6.45737069930082,-164715.53838806576,0.1064165997262483,0.11002677542930432,1.089357482734943,7.03438509007672,11.839769484080747,19.014652077609615,32.5,False,False,False,0,0,1.1564847008777779,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0070051135362494
2,1,1,4.0,0.005,216,183690,0.005329631444281125,3.045482416669548,0.7059048454862118,0.1893575386358425,10.0,0.1260927470000796,5.664072935566792,-140081.16629198682,0.12409311744029346,0.12809237655986574,0.9686004341097288,5.4862235042191605,11.54773983544012,19.014652077609615,27.500000000000004,False,False,False,0,0,0.9950085621617466,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9983399187880558
2,2,1,4.0,0.02,925,183690,0.020534596330774674,2.874335022512971,0.7474131675181271,0.1996805268281012,10.0,0.12016549418646034,6.619476142897606,-173968.24544637487,0.11827717129419059,0.1220538170787301,1.0541283377250292,6.977777383123141,13.249168772947227,19.014652077609615,56.99999999999999,False,False,False,0,0,1.1641990070585901,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0527652734253963
